class;text
1;No puedo ir wn, me quedé sin lucas pa' la micro
1;Hermano, no pueo' ir a la hora qlia' que me pusiste
1;Shusha weón, cagó el auto y no voy a llegar a la hora
1;Me mandé un condoro, me confundí la hora y no puedo ir
1;Weon, no voy a poder ir porque me salió una pega urgente
1;Me dio paja ir, así que mejor cancelo la hora
1;No estoy ni ahí con ir a la hora que me pusiste, wena onda
1;Puta la wea, me enfermé y no puedo ir a la hora
1;Ola, no podré asistir a la hora pa' mañana, lo siento
1;Sorry weón, tengo que ir a la pewga y no podré ir a la hora que acordamos
1;Puta la wea, me quedé dormido y no llego a la hora
1;Ola, no podré asistir a la hora que acordamo' porque tengo que hacer unas compras
1;Sorry weón, tengo un cagazo urgente que arreglar y no voy a poder ir a la hora
1;Wena' loco, no voy a poder ir porque me salió un trámite imprevisto
1;Lamento informarte que no podre asistir a la hora acordada 🙁
1;Disculpa no pueo ir a la hora que pusiste 🤧, me siento un poco enfermo
1;Ola, no podre asistir a la hora q acordamos 😓, tuve un problema familiar
1;Lo siento wn, no puedo ir a la hora 😕, tengo que hacer un tramite urgente
1;Wenah loco, no toy con animos hoy, no podré ir
1;Hermanoh, faltó practicar en la escuela de conducir y no voy a poder ir a la hora que pusiste
1;Toy cagao, no practiqué pa la prueba de manejo y no voy a poder ir a la hora que pusiste
1;Sorry wn, me falta práctica pa la prueba de conducir y no puedo ir a la hora que pusiste
1;No toy seguro de mi habilidad pa manejar, faltó practicar más y no puedo ir a la hora
1;No puedo ir a la hora de la prueba de conducir, faltó práctica y toy pal pico
