class;text
0;Sí, estaré presente.
0;Confirmo mi participación.
0;Cuenta conmigo para asistir.
0;Puedes contar con mi asistencia.
0;Estoy comprometido a asistir.
0;Por supuesto, estaré allí.
0;No te preocupes, iré a la reunión.
0;Haré todo lo posible por asistir.
0;Estoy ansioso por participar.
0;Sin duda alguna, asistiré.
0;Marcaré mi presencia en el evento.
0;Estoy deseando asistir.
0;Mi presencia está garantizada.
0;Aseguro mi asistencia al encuentro.
0;No me lo perdería por nada del mundo.
0;Estoy emocionado de participar.
0;Puedes contar conmigo ese día.
0;Será un gusto asistir.
0;Confirmo con entusiasmo mi asistencia.
0;Mi respuesta es afirmativa, estaré presente.
0;Estaré encantado de unirme al evento.
0;Asistiré sin falta.
0;Mi compromiso es asistir puntualmente.
0;Haré todo lo necesario para asistir.
0;Estoy preparado para participar activamente.
0;Cuenten conmigo para el encuentro.
0;Estaré allí en el momento indicado.
0;No tengo ninguna duda, estaré presente.
0;Confirmo mi presencia con alegría.
0;Estoy ansioso por formar parte de la reunión.
0;Sipo, voy a llegar.
0;Confirmado, no hay drama.
0;Claro que voy, po.
0;Voy a puro ir.
0;Obvio.
0;Confirmo la hora, cachai.
0;Confirmado, no te preocupí.
0;Sipo, voy a caer.
0;Quiero puro ir.
0;Confirmo mi asistencia, ¡vale por la invitación!
0;No me vai a fallar.
0;Voy a puro ir, oh.
0;Caigo a la cita.
0;Confirmo la cita, poh.
0;Está bien la hora, ¿cachái?
0;Voy a esa hora, sí o sí.
0;Voy a llegar a esa hora precisa.
0;Me presento ahí.
0;Voy a acudir, ¿cachay?
0;Voy a llegar a la hora, tranqui.
0;No llego tarde, seguro.
0;Llego a la hora, no hay dramas.
0;Voy a concurrir en el horario que indicaste.
0;Me voy a presentar, ¿cachai?
0;No falto, mi pez.
0;Estoy ahí, en el lugar indicado.
0;Llego a la hora señalada, mi socio.
0;Obvio, si voy, wena.
0;Confirmo, muchas gracias, weón.
0;Agradezco, si voy a caer, po.
0;Confirmo mi sistencia, weoncito.
0;Confirmo que voy a estar en el lugar, compadre.
0;Si voy a ir a esa hora y fecha, mi compa.
0;Si me acomoda la fecha, tranqui.
0;Ya lo tenía en la mente, viejo.
0;Llego a la hora, po.
0;Si voy a estar allá, compadre.
0;Caigo a esa, mi pez.
