class;text
1;Cambié de opinión, mejor no voy.
1;Me retracté, no podré estar presente.
1;Decidí cancelar mi participación.
1;Surgió un imprevisto, no podré asistir.
1;Lamentablemente, no podré ir ese día.
1;Me complicó ese compromiso, no podré asistir.
1;Se me presentó un inconveniente, no podré acudir.
1;Me surgió un contratiempo, no podré estar ahí.
1;Imposible para mí ese día, no puedo asistir.
1;Preferiría reprogramar para otro día.
1;No podré cumplir con la cita, lo siento.
1;Me resulta complicado salir en esa fecha.
1;Tengo asuntos pendientes, no podré asistir.
1;Por motivos personales, necesito cancelar.
1;Me es imposible asistir, surgieron complicaciones.
1;No podré hacerlo en esa ocasión, tengo problemas.
1;No me es posible acudir, tengo una situación urgente.
1;Me veo en la necesidad de cancelar la cita.
1;No podré asistir a la cita programada.
1;Quiero anular la cita, por favor.
1;Voy a descartar la cita, no podré asistir.
1;Necesito eliminar lo que estaba planeado.
1;Por favor, cancela lo que teníamos agendado.
1;No podré estar presente en el evento.
1;Me es imposible acudir a la reunión.
1;Tengo inconvenientes personales, no podré asistir.
1;Surgió un imprevisto de último momento, no podré ir.
1;Me surgió una situación inesperada, necesito cancelar.
1;Imposible para mí ese día, no podré estar allí.
1;No voy a poder cumplir con el compromiso, te pido disculpas.
1;No voy a ir, weon
1;Me arrepentí, me rajé.
1;Ya no quiero, me dio la volá.
1;Voy a cancelarlo, lo eché pa' atrás.
1;Ya no me acomoda, no me cuadra.
1;Ese día estoy ocupado, tengo pega.
1;Me salió un atado, no podré ir.
1;Ese día no puedo, toy complicado.
1;Cancelo, me hecho pa' atrás.
1;Mejor otro día, poh.
1;No iré, me bajaré.
1;No puedo salir, toy amarrado.
1;No puedo, me agarró el manso atao.
1;Tengo dramas pa' esa fecha, no podré asistir.
1;Ya no me acomoda, no me tinca.
1;No puedo asistir, no me dará el poto.
1;No voy a asistir, me eché pa' atrás.
1;Se me complicó, la cagué.
1;Tengo pega ese día, no voy a poder.
1;Me voy a rajá con la cancela, no llegaré.
1;Tengo un atao, voy a tener que bajarme.
1;Quiero cancelar, mandé la cagá.
1;Voy a cancelar, cagó la volá.
1;Necesito cancelar, me salió una urgencia.
1;Necesito cancelar por motivos de fuerza mayor, me llegó un manso atado.
1;Me reuso a ir, no me quiero mandar un condoro.
1;Tengo puros dramas, la cagué.
1;Ese día trabajo, tengo la pega encima.
1;Voy a tener que cancelar porque surgió algo, se me armó la grande.
1;Me salió una urgencia, tengo manso atao.
1;Se armó la cagá, cancela la cita.
1;No voy a ir a la cita, no me puedo mandar ese condoro.
1;Quiero cancelar la cita, déjame rajarme.
1;Voy a eliminar la cita, borrémosla.
1;Elimina la cita, borra todo lo programado.
