class;text
3;Hola, ¿puedo agendar una cita para las 3 de la tarde?
3;¿Hay disponibilidad de hora para las ocho y media?
3;Me gustaría solicitar un turno para las 15 horas.
3;¿Tiene un espacio libre para sacar la licencia al mediodía?
3;Quiero saber cuándo puedo obtener la licencia.
3;¿Es posible sacar la licencia a las 3 de la tarde este martes?
3;Quiero agendar una hora para obtener la licencia de conductor el 26 de diciembre a las 10 de la noche.
3;¿Puede reservarme un cupo para las 9 de la mañana el 12 de julio?
3;¿Le queda algún horario disponible para la licencia el 31 de mayo?
3;Hola, buenos días. ¿Puede darme una cita para las 3 de la tarde el viernes 23 de junio?
3;Buenas tardes, ¿hay fecha disponible para el 2 de febrero?
3;¿Tiene alguna hora libre para el 16 de marzo?
3;Buenas noches, ¿tiene una cita para pasado mañana?
3;Aquí se pide hora para la licencia, ¿cierto?
3;Hola, buenas tardes. ¿Cuál es el horario más cercano?
3;Buenas, ¿tiene cupo para junio, pero después del 15?
3;Hola, ¿tiene cita disponible para la licencia en cualquier día entre el 4, 8 o 15 de diciembre?
3;Buen día, ¿puede darme una hora los jueves o martes después de la una?
3;Hola, ¿puedo agendar una fecha para obtener la licencia?
3;¿Tiene hora disponible para la licencia el próximo sábado?
3;Necesito hacer una reserva para las 3 en punto.
3;¿Hay algún espacio para las ocho y media de la mañana?
3;Quisiera solicitar una hora a las tres de la tarde.
3;¿Tiene disponibilidad para sacar la licencia al mediodía?
3;Me gustaría saber cuándo puedo obtener la licencia.
3;¿Es posible sacar la licencia a las 3 este martes?
3;Quiero agendar una hora para obtener la licencia de conductor el 26 de diciembre a las 10 de la noche.
3;¿Puede darme un cupo para las 9 de la mañana el 12 de julio?
3;¿Le queda alguna hora disponible para la licencia el 31 de mayo?
3;Hola, buenas tardes. ¿Puede agendar una cita para las 3 el viernes 23 de junio?
3;Oye, ¿me puedes agendar una cita a las 3 de la tarde?
3;¿Tenís algo disponible pa' las ocho y media?
3;Dame un espacio a las 15 horas, porfa.
3;¿Hay hora pa' sacar la licencia al medio día?
3;¿Cuándo puedo sacar la licencia?
3;Se puede sacar la licencia a las 3 este martes?
3;Quiero agendar hora pa' sacar la licencia de conductor el 26 de diciembre a las 10 de la noche.
3;¿Me puedes dar un cupo pa' las 9 de la mañana el 12 de julio?
3;¿Le queda hora pa' la licencia el 31 de mayo?
3;Oye, buenos días, ¿me puedes agendar una cita a las 3 el viernes 23 de junio?
3;¿Wena, hay fecha disponible pa' el 2 de febrero?
3;¿Tiene una cita pa' el 16 de marzo?
3;Buena, ¿tenís algo pa' pasado mañana en la tarde?
3;¿Aquí se pide hora pa' la licencia, cierto?
3;Oye, buenas tardes. ¿Cuándo es la hora más cercana?
3;Wena, ¿hay cupo pa' junio, pero después del 15?
3;Oye, ¿tenís hora pa' la licencia cualquier día entre el 4, 8 o 15 de diciembre?
3;Buena, ¿me dai una hora los martes o jueves después de la una?
3;Oye, puedo agendar una fecha?
3;¿Tiene hora pa' la licencia el próximo sábado?
