class;text
3;Hola compadre, ¿cachai si me puedes dar una hora pa sacar la licencia de conducir?
3;Hola, ¿será posible que me den una hora pa sacar la licencia?
3;Amigo, necesito que me des una hora ya mismo para sacar la licencia, ¡estoy apurado!
3;Ey, ¿me puedes dar una mano pa agendar una hora para sacar la licencia de conducir, porfa?
3;Necesito que me des una hora de una buena vez para sacar la wea de licencia, ya me tiene chato esto.
3;¿me dai una hora para sacar la licencia? Toy chato de andar en micro.
3;Q onda hermano, ¿me dai una ora pal trámite de la licencia?
3;Hola, ¿podis darme una hora para la papeleta verde?
3;Necesito agendar una ora para sacar la licencia de conducir, ¿cachai?
3;Oye, ¿me das una hora pa sacar la wea de licencia? Ya toy chato de andar en bici.
3;Hola, ¿me podí ayudar a sacar una hora pa la licencia de conducir?
3;Necesito una hora para sacar la wea de licencia, ¡toy aburrido de andar a pata!
3;Oye hermano, ¿me das una hora para sacar la licencia? Toy desesperado.
3;Hola, ¿podis ayudarme a sacar una hora pa la licencia de conducir?
3;Necesito una hora urgente pala licencia, ¿me ayudai?
3;Ey, necesito una hora 🙏 pa' sacar la licencia de conducir, porfa!
3;no estoy listo 😫 pa' sacar la licencia, pero necesito agendar una hora igual.
3;Hola Quiero pedir una hora para la licencia de conducir Lo necesito urgente
3;Ey hermano, ¿podis ayudarme a agendar una hora pa' sacar la licencia? Estoy apurado 🏃‍♂️💨
3;Necesito agendar una hora para sacar la licencia, ¿me puedes ayudar con eso?
3;¿Me podrían dar una hora para la licencia de conducir? Llevo pidiendo hace tiempo.
3;¿será posible que me den una hora para el trámite de la licencia de conducir?
3;¿podría solicitar una hora para la licencia de conducir?
