class;text
0;Ya po, confirmo la hora
0;Sipo, voy a estar ahí
0;Dale, confirmo la cita
0;Claro, ahí nos vemos
0;Confirmado, estaré puntual
0;Sí, voy seguro
0;Listo, confirmo mi presencia
0;Sin falta, estaré ahí
0;Confirmo y reconfirmo la hora
0;Seguro que sí, voy a llegar a la hora acordada
0;Wena hermano, confirmo q voy
0;Sipo weon, estaré ahí
0;Sin falta 👍 voy a llegar temprano
0;Hola hermano, te escribo pa confirmar la hora
0;Hola po weon, te quiero confirmar la hora de mañana
0;Hola estimada, te hablo pa' confirmarte la hora de la reunión
