class;text
0;Hola! Quiero confirmar mi hora para renovar la licencia del proximo martes.
0;Confirmo hora pa la licencia.
0;Si voy a ir a la hora.
0;Si voy a la cita.
0;Estimado confirmo mi asistencia a la cita proxima.
0;Agendada y confirmada la cita.
0;Voy sin duda gracias.
0;Claro que ire no se preocupe.
0;tengo 0 dudas en que voy a asistir a la hora no se preocupe.
0;no pienso faltar a menos que se acabe el mundo.
0;nos vemos seguro el proximo jueves
0;si voy a ir pero puede indicar a que hora es?
0;maks si voy.
0;OLASIVOY
0;Gracias si voy.  
0;Es imposible que no vaya
0;Puede contar con mi presencia para la cita agendada
0;Voy si o tambien a la hora 
0;No me pierdo por nada renovar mi licencia
0;Ya me veo manejando kjejeje imposible falto
0;Si llego a faltar tendria que ser porque el cielo se cae o algo. Porque esto no me lo pierdo por nada.
0;voy
0;confirmo
0;sisisi si voy
0;lo tengo agendado y confirmado
0;Porsupuesto que asistire
0;asistencia segura
0;confirmo mi asistencia para la cita.
0;tuve que mover algunas cosas pero si que si puedo ir.
0;no se preocupe que no me pierdo la cita por nada
0;nos vemos el proximo miercoles en la cita.
0;Estoy listo para poder ir a la cita de la proxima semana
0;Apaño la hora pues me viene bien paso a comer despues
0;Confirmo la cita agendad para renovar la licencia
0;Voy sin falta
0;Voy seguro a la hora para renovar
0;OIGA SI VOY YA??? 
0; VOy
0;Confirimo
0;Asistencia asegurada
0;Si voy a la hora 
0;Puede que no llegue justo pero de que llego llego.
  


 
